imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1318.666626,0.0004905312671,1318.666626,0.0002181958553,1318.666626,-0.0002622492029,1318.666626,0.0001784168562,1318.666626,4.833179264E-005,
1318,0.0005629703519,1318,0.0002660338941,1318,-0.0001991727331,1318,0.0002454683417,1318,0.0001257204567,
1317.333374,0.0004925786052,1317.333374,0.0002516586392,1317.333374,-0.0002332734584,1317.333374,0.000181498559,1317.333374,8.887562581E-005,
1316.666626,0.0005523434957,1316.666626,0.0002620968444,1316.666626,-0.0001980860252,1316.666626,0.0002202159812,1316.666626,0.000120515906,
1316,0.0005415095366,1316,0.0002641948813,1316,-0.0002028985909,1316,0.0002224433119,1316,8.939344843E-005,
1315.333374,0.0005170174409,1315.333374,0.0002594030811,1315.333374,-0.0002144899336,1315.333374,0.0002224174095,1315.333374,7.662922872E-005,
1314.666626,0.0005345116369,1314.666626,0.0002711883863,1314.666626,-0.0002270641126,1314.666626,0.0002320779313,1314.666626,7.549004658E-005,
1314,0.0005335526657,1314,0.0002387083368,1314,-0.0002068314061,1314,0.0002444323036,1314,9.542616317E-005,
1313.333374,0.0005466154544,1313.333374,0.0002474626817,1313.333374,-0.0002208029473,1313.333374,0.0002513737127,1313.333374,0.0001072588129,
1312.666626,0.000542546215,1312.666626,0.000266655552,1312.666626,-0.0001987587457,1312.666626,0.0002630811068,1312.666626,0.000110676614,
1312,0.0005173543468,1312,0.0002428523876,1312,-0.0002048649912,1312,0.0002638840524,1312,0.0001284392783,
1311.333374,0.000571834913,1311.333374,0.0002743743826,1311.333374,-0.0001866494858,1311.333374,0.0002841914538,1311.333374,0.0001285946346,
1310.666626,0.0005692429258,1310.666626,0.0002666814544,1310.666626,-0.0001699857676,1310.666626,0.0002788295969,1310.666626,0.000116139985,
1310,0.0005611819215,1310,0.0002587296476,1310,-0.00018525224,1310,0.0002590922813,1310,6.842200673E-005,
1309.333374,0.0005569570931,1309.333374,0.0002362996165,1309.333374,-0.0002019671228,1309.333374,0.0002687018132,1309.333374,3.437792475E-005,
1308.666626,0.0005680765607,1308.666626,0.000247281394,1308.666626,-0.0001791974646,1308.666626,0.0002724057995,1308.666626,5.871334361E-005,
1308,0.0005808033748,1308,0.0002434480994,1308,-0.0001878914773,1308,0.0002629515948,1308,2.500656592E-005,
1307.333374,0.0005664695054,1307.333374,0.0002414019546,1307.333374,-0.0001643965516,1307.333374,0.0002630033996,1307.333374,2.86825998E-005,
1306.666626,0.0005630740197,1306.666626,0.0002457273367,1306.666626,-0.0001773862023,1306.666626,0.000243137285,1306.666626,-9.215306818E-006,
1306,0.0005391768645,1306,0.0001998597727,1306,-0.0002000524546,1306,0.0002833107719,1306,-2.780064096E-005,
1305.333374,0.0005939971888,1305.333374,0.0002470223699,1305.333374,-0.0001493881136,1305.333374,0.0002587296476,1305.333374,-1.641139352E-005,
1304.666626,0.0005851062015,1304.666626,0.0002660079917,1304.666626,-0.0001803359773,1304.666626,0.0002210188541,1304.666626,-9.716505156E-005,
1304,0.0004598228261,1304,0.000150216365,1304,-0.0002566094336,1304,0.0001188846363,1304,-0.000211902603,
1303.333374,0.000519220368,1303.333374,0.0002009215823,1303.333374,-0.0002089530317,1303.333374,0.0002157872659,1303.333374,-0.0001664148876,
1302.666626,0.000545708288,1302.666626,0.0002278821776,1302.666626,-0.0001720040746,1302.666626,0.0002313527366,1302.666626,-0.0001482495136,
1302,0.0005089833285,1302,0.0002135340619,1302,-0.0002043992718,1302,0.0002091313072,1302,-0.0001764029294,
1301.333374,0.000560819055,1301.333374,0.0002188433282,1301.333374,-0.0001852004934,1301.333374,0.0002450798347,1301.333374,-0.000137691517,
1300.666626,0.0005381401279,1300.666626,0.0002210188541,1300.666626,-0.0001847864914,1300.666626,0.0002503117721,1300.666626,-0.0001320501324,
1300,0.0005533802323,1300,0.0002436553041,1300,-0.0001593247871,1300,0.000302582921,1300,-6.967943773E-005,
1299.333374,0.0005094757071,1299.333374,0.0001848133543,1299.333374,-0.0002067278983,1299.333374,0.0002814457694,1299.333374,-7.081823424E-005,
1298.666626,0.0004974766052,1298.666626,0.0002180922602,1298.666626,-0.0001933768945,1298.666626,0.0003036708804,1298.666626,-5.554773452E-005,
1298,0.0005777706974,1298,0.0002479029936,1298,-0.0001253217779,1298,0.0003871677618,1298,2.715522896E-005,
1297.333374,0.0005743232905,1297.333374,0.0002782597439,1297.333374,-0.0001433328434,1297.333374,0.0004214208748,1297.333374,4.550991798E-005,
1296.666626,0.0005617003189,1296.666626,0.0002677175216,1296.666626,-0.0001295658294,1296.666626,0.000412818481,1296.666626,6.298512744E-005,
1296,0.0006057397113,1296,0.0003148615942,1296,-7.966970588E-005,1296,0.0004597968946,1296,0.0001284133905,
1295.333374,0.0005585899926,1295.333374,0.0002842432586,1295.333374,-0.0001299281284,1295.333374,0.0004718986165,1295.333374,7.769074E-005,
1294.666626,0.0005762932124,1294.666626,0.0002576935804,1294.666626,-0.0001245454187,1294.666626,0.0004694367817,1294.666626,7.727649063E-005,
1294,0.000562374189,1294,0.0003010545915,1294,-9.261012019E-005,1294,0.0004991352325,1294,7.481688954E-005,
1293.333374,0.0005907051382,1293.333374,0.0002817825007,1293.333374,-9.457702981E-005,1293.333374,0.0005072469357,1293.333374,9.200847853E-005,
1292.666626,0.0005867392174,1292.666626,0.0003047588689,1292.666626,-6.507244689E-005,1292.666626,0.0005721978378,1292.666626,0.0001044883393,
1292,0.0005498811952,1292,0.0002789332066,1292,-9.556047735E-005,1292,0.0005173543468,1292,6.505630881E-005,
1291.333374,0.000565562339,1291.333374,0.0002681060578,1291.333374,-0.0001159019012,1291.333374,0.000569087395,1291.333374,7.792375254E-005,
1290.666626,0.0005571644288,1290.666626,0.000278959109,1290.666626,-7.185350114E-005,1290.666626,0.0005897461087,1290.666626,9.866263281E-005,
1290,0.0005622964818,1290,0.000295640697,1290,-7.418284804E-005,1290,0.0006040029693,1290,0.000117279269,
1289.333374,0.0005916383234,1289.333374,0.0003047847713,1289.333374,-7.118057692E-005,1289.333374,0.0006332698395,1289.333374,0.0001496984623,
1288.666626,0.0005754378508,1288.666626,0.0002907708695,1288.666626,-5.798069833E-005,1288.666626,0.0006493687979,1288.666626,0.0001352493564,
1288,0.0005820734659,1288,0.0003025311162,1288,-4.918055492E-005,1288,0.0006484354963,1288,0.0001512003655,
1287.333374,0.0005861949176,1287.333374,0.0003279955126,1287.333374,-3.763656787E-005,1287.333374,0.0006944023189,1287.333374,0.0001412827114,
