0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.0% TFA,,1.0% TFA + triethylamine,,0.1% TFA,,0.1% TFA + triethylamine,,0.5% TFA,,0.5% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1370,0.0005485074944,1370,0.00602763705,1370,0.00130851171,1370,0.01372616272,1370,0.001634301385,1370,0.0930968076,1370,0.002909782808,1370,0.2226110995,1370,0.005881461781,1370,0.04417066276,1370,0.006026088726,1370,0.1691042185,1370,0.005518178456,
1369.333374,0.0005580456927,1369.333374,0.006039133761,1369.333374,0.001315574045,1369.333374,0.01373877283,1369.333374,0.001633547829,1369.333374,0.09323936701,1369.333374,0.002947310917,1369.333374,0.2226492614,1369.333374,0.005966720171,1369.333374,0.044244688,1369.333374,0.005990445614,1369.333374,0.1693554372,1369.333374,0.005583201535,
1368.666626,0.0005691651604,1368.666626,0.006056510843,1368.666626,0.001314509544,1368.666626,0.01379031502,1368.666626,0.001630767598,1368.666626,0.09344819933,1368.666626,0.002966232365,1368.666626,0.2228244841,1368.666626,0.006059424486,1368.666626,0.04434109107,1368.666626,0.005981653463,1368.666626,0.1696760952,1368.666626,0.005646529607,
1368,0.0005902645062,1368,0.00610163575,1368,0.001343201147,1368,0.01381965633,1368,0.001685959753,1368,0.09369489551,1368,0.002992453054,1368,0.2229705304,1368,0.006103893742,1368,0.04451026767,1368,0.005956301466,1368,0.1700437665,1368,0.00562421279,
1367.333374,0.0005784705281,1367.333374,0.006087040063,1367.333374,0.00131518452,1367.333374,0.01383745391,1367.333374,0.001646929537,1367.333374,0.09385587275,1367.333374,0.002945929533,1367.333374,0.2230376601,1367.333374,0.006030813325,1367.333374,0.04459987208,1367.333374,0.005899304524,1367.333374,0.1703221202,1367.333374,0.005501793232,
1366.666626,0.0005547280307,1366.666626,0.006047428586,1366.666626,0.001292829751,1366.666626,0.01388024073,1366.666626,0.001593327266,1366.666626,0.09406014532,1366.666626,0.002902538283,1366.666626,0.223155126,1366.666626,0.005908095278,1366.666626,0.04471445829,1366.666626,0.00582717685,1366.666626,0.1706193388,1366.666626,0.005350684281,
1366,0.0004964658874,1366,0.006037086248,1366,0.001223721309,1366,0.01384202391,1366,0.001534509938,1366,0.09423968196,1366,0.002760745352,1366,0.2232112139,1366,0.005750680342,1366,0.04478527978,1366,0.005735492799,1366,0.170889616,1366,0.005178225227,
1365.333374,0.0004985909909,1365.333374,0.006054883357,1365.333374,0.00117767253,1365.333374,0.01389547531,1365.333374,0.001515079173,1365.333374,0.0945835337,1365.333374,0.002649182919,1365.333374,0.2235393524,1365.333374,0.005532834213,1365.333374,0.04499166459,1365.333374,0.005735073239,1365.333374,0.1713992804,1365.333374,0.005002927501,
1364.666626,0.0004325627815,1364.666626,0.006036482751,1364.666626,0.001139155123,1364.666626,0.0139160566,1364.666626,0.00141427631,1364.666626,0.09480702132,1364.666626,0.002534030238,1364.666626,0.2236986011,1364.666626,0.005308283959,1364.666626,0.04511588812,1364.666626,0.005614903755,1364.666626,0.1717516482,1364.666626,0.004798777867,
1364,0.0004811500548,1364,0.006110010203,1364,0.001169729978,1364,0.0140221566,1364,0.001424664631,1364,0.09513923526,1364,0.002502031391,1364,0.223890841,1364,0.005164734088,1364,0.04532343894,1364,0.005567285698,1364,0.1721664518,1364,0.004688339308,
1363.333374,0.0004147617728,1363.333374,0.006042572204,1363.333374,0.001098435256,1363.333374,0.01401017886,1363.333374,0.001295140479,1363.333374,0.09532102942,1363.333374,0.002348292619,1363.333374,0.2240101397,1363.333374,0.004874242935,1363.333374,0.04538930207,1363.333374,0.005478120875,1363.333374,0.1724538803,1363.333374,0.004444950726,
1362.666626,0.000337917445,1362.666626,0.005993621424,1362.666626,0.001058731228,1362.666626,0.01396312844,1362.666626,0.001211780356,1362.666626,0.0955471471,1362.666626,0.002160111209,1362.666626,0.2241520435,1362.666626,0.004683995619,1362.666626,0.04547615349,1362.666626,0.005425039679,1362.666626,0.1728510559,1362.666626,0.00435449928,
1362,0.0003583578509,1362,0.00604776945,1362,0.001023753197,1362,0.01398657262,1362,0.001184057794,1362,0.09585988522,1362,0.002100618789,1362,0.2244681716,1362,0.00454342505,1362,0.04566495493,1362,0.005369605962,1362,0.1733336449,1362,0.004222059622,
1361.333374,0.0002495865629,1361.333374,0.005966799334,1361.333374,0.0009087710641,1361.333374,0.01398692001,1361.333374,0.001071913633,1361.333374,0.09598043561,1361.333374,0.002052994445,1361.333374,0.2246142477,1361.333374,0.00438888371,1361.333374,0.04578376189,1361.333374,0.005294814706,1361.333374,0.1736014187,1361.333374,0.004051667638,
