imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
459.333313,0.1483805478,459.333313,0.1431915313,459.333313,0.1482979655,459.333313,0.1394288838,459.333313,0.1275993884,
458.666626,0.1482007653,458.666626,0.1431348771,458.666626,0.1480667442,458.666626,0.1391261667,458.666626,0.1274002343,
457.9999695,0.1479782313,457.9999695,0.1427770108,457.9999695,0.1475145817,457.9999695,0.1387883723,457.9999695,0.1271204948,
457.333313,0.1481361687,457.333313,0.1428200305,457.333313,0.1473732889,457.333313,0.1385468543,457.333313,0.1269617528,
456.666626,0.1479136646,456.666626,0.1426531821,456.666626,0.147067517,456.666626,0.1383708864,456.666626,0.1267439723,
455.9999695,0.1477663517,455.9999695,0.1423491389,455.9999695,0.1465110034,455.9999695,0.137958169,455.9999695,0.1264282763,
455.333313,0.147836417,455.333313,0.1423034668,455.333313,0.1465001255,455.333313,0.1379490644,455.333313,0.1263034195,
454.666626,0.1474343538,454.666626,0.1417990178,454.666626,0.145861879,454.666626,0.1372436881,454.666626,0.1257583052,
453.9999695,0.1474786997,453.9999695,0.1418412179,453.9999695,0.1455555856,453.9999695,0.1370715201,453.9999695,0.1257475466,
453.333313,0.1472767293,453.333313,0.1415033489,453.333313,0.1451694071,453.333313,0.1367590427,453.333313,0.1252994239,
452.666626,0.1472340375,452.666626,0.1413963288,452.666626,0.14492926,452.666626,0.136493668,452.666626,0.1252676547,
451.9999695,0.1466392428,451.9999695,0.1408421993,451.9999695,0.1441148371,451.9999695,0.135943085,451.9999695,0.1246789545,
451.333313,0.1466053128,451.333313,0.1406648308,451.333313,0.1440253109,451.333313,0.135651201,451.333313,0.1245021746,
450.666626,0.1463077068,450.666626,0.1404560357,450.666626,0.1434951127,450.666626,0.1351985037,450.666626,0.1241527572,
449.9999695,0.1458974183,449.9999695,0.1400918663,449.9999695,0.1429421008,449.9999695,0.1348474473,449.9999695,0.1237760782,
449.333313,0.1456545442,449.333313,0.1399090886,449.333313,0.1425726116,449.333313,0.1345064789,449.333313,0.1235692203,
448.666626,0.1455004364,448.666626,0.1395917535,448.666626,0.1421220601,448.666626,0.1340294182,448.666626,0.1232423484,
447.9999695,0.1452802867,447.9999695,0.1392727643,447.9999695,0.1416454464,447.9999695,0.1337661594,447.9999695,0.1228949055,
