FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1302.666626,0.0009150226833,1302.666626,0.02459101379,1302.666626,0.09802550822,1302.666626,0.2070737183,1302.666626,0.3159222901,
1302,0.0009194066515,1302,0.02464862727,1302,0.09813393652,1302,0.2070860118,1302,0.3157837689,
1301.333374,0.0009493434336,1301.333374,0.0246869307,1301.333374,0.09816294909,1301.333374,0.2070810497,1301.333374,0.3156506717,
1300.666626,0.0008609918295,1300.666626,0.02467747778,1300.666626,0.09814415872,1300.666626,0.2071024925,1300.666626,0.315417558,
1300,0.0009195104358,1300,0.02478037402,1300,0.09826319665,1300,0.2071296424,1300,0.3152780235,
1299.333374,0.0009238166385,1299.333374,0.02484083548,1299.333374,0.09838204831,1299.333374,0.2070997357,1299.333374,0.3151073158,
1298.666626,0.0009079669253,1298.666626,0.02481074072,1298.666626,0.09839253128,1298.666626,0.2070826739,1298.666626,0.3150148392,
1298,0.0008924031281,1298,0.02478747256,1298,0.09850540757,1298,0.2071329355,1298,0.3148000538,
1297.333374,0.0008675540448,1297.333374,0.02479827031,1297.333374,0.09855100513,1297.333374,0.2070984393,1297.333374,0.3145807683,
1296.666626,0.0008879934903,1296.666626,0.02486761659,1296.666626,0.098653391,1296.666626,0.2071468681,1296.666626,0.3144900203,
1296,0.0008966312162,1296,0.02490004525,1296,0.09873380512,1296,0.2071874887,1296,0.3143143952,
1295.333374,0.0008426545537,1295.333374,0.02491389029,1295.333374,0.09882093221,1295.333374,0.2072258592,1295.333374,0.3142000437,
1294.666626,0.0008582943701,1294.666626,0.02500699833,1294.666626,0.09891051054,1294.666626,0.2072130144,1294.666626,0.3140026927,
1294,0.0008526401361,1294,0.02503079921,1294,0.0990171507,1294,0.2072749287,1294,0.3139016926,
1293.333374,0.0008658421575,1293.333374,0.02502644062,1293.333374,0.09901675582,1293.333374,0.2072407156,1293.333374,0.3136734962,
1292.666626,0.0008060600376,1292.666626,0.02508594841,1292.666626,0.09910342097,1292.666626,0.2072671205,1292.666626,0.3134903014,
1292,0.0008195200353,1292,0.02518570609,1292,0.09918723255,1292,0.2073418498,1292,0.3133288622,
1291.333374,0.0008367670816,1291.333374,0.02517830022,1291.333374,0.09925450385,1291.333374,0.2073309571,1291.333374,0.3131871223,
1290.666626,0.0008087053429,1290.666626,0.02526773326,1290.666626,0.09933441132,1290.666626,0.2073765248,1290.666626,0.3130570948,
1290,0.000807719829,1290,0.02530085109,1290,0.0994354561,1290,0.2073849142,1290,0.3129208684,
1289.333374,0.0007941305521,1289.333374,0.02535136975,1289.333374,0.09941925108,1289.333374,0.2074385732,1289.333374,0.3127166927,
1288.666626,0.0008199349977,1288.666626,0.02549889497,1288.666626,0.09948971868,1288.666626,0.2074862421,1288.666626,0.3125799596,
1288,0.0007911741268,1288,0.02545716986,1288,0.09948506206,1288,0.2074878663,1288,0.3123990595,
1287.333374,0.0008324616938,1287.333374,0.02555050701,1287.333374,0.09957002103,1287.333374,0.2075841278,1287.333374,0.3122764826,
1286.666626,0.000798617024,1286.666626,0.02562142722,1286.666626,0.09951406717,1286.666626,0.2075854689,1286.666626,0.3121332228,
1286,0.0008035444771,1286,0.02561906539,1286,0.09953232855,1286,0.2076234668,1286,0.3119606078,
1285.333374,0.0008282082854,1285.333374,0.02568741702,1285.333374,0.09964933991,1285.333374,0.2077109814,1285.333374,0.3118222654,
1284.666626,0.0007665383164,1284.666626,0.02575360797,1284.666626,0.09965272248,1284.666626,0.2077097297,1284.666626,0.3116223812,
1284,0.0007975797052,1284,0.02582832612,1284,0.09970802069,1284,0.2077882886,1284,0.3115139306,
1283.333374,0.0007514723111,1283.333374,0.02591209672,1283.333374,0.09973084927,1283.333374,0.2077984363,1283.333374,0.3113340735,
1282.666626,0.0008426545537,1282.666626,0.02613667212,1282.666626,0.09984019399,1282.666626,0.2079135329,1282.666626,0.3113006949,
1282,0.0008221135358,1282,0.02636296116,1282,0.09985475987,1282,0.2079477608,1282,0.3110666871,
1281.333374,0.0007687166217,1281.333374,0.02648639679,1281.333374,0.09983400255,1281.333374,0.2079386413,1281.333374,0.3109203577,
1280.666626,0.0007749143406,1280.666626,0.02668690868,1280.666626,0.09992063046,1280.666626,0.2080243081,1280.666626,0.3107656837,
1280,0.0008249664097,1280,0.02674904093,1280,0.09990555048,1280,0.2080758363,1280,0.3106679916,
1279.333374,0.0008360408247,1279.333374,0.02681991085,1279.333374,0.09996520728,1279.333374,0.2081533819,1279.333374,0.3104659319,
1278.666626,0.0008432770264,1278.666626,0.02681313641,1278.666626,0.0999417454,1278.666626,0.2081795037,1278.666626,0.3103749752,
1278,0.0008541444549,1278,0.02687432244,1278,0.1000196338,1278,0.2082381696,1278,0.3102266788,
1277.333374,0.0007961274241,1277.333374,0.02687514946,1277.333374,0.1000246182,1277.333374,0.208289057,1277.333374,0.3100619614,
1276.666626,0.0008305424708,1276.666626,0.02683981881,1276.666626,0.1000364125,1276.666626,0.2083330154,1276.666626,0.3099180758,
1276,0.0008426026907,1276,0.02687267028,1276,0.1001440808,1276,0.2084455639,1276,0.3098501265,
1275.333374,0.0008561156574,1275.333374,0.02676919475,1275.333374,0.1001222655,1275.333374,0.208447367,1275.333374,0.3096737862,
1274.666626,0.0008270412218,1274.666626,0.02667997219,1274.666626,0.1001765504,1274.666626,0.2084870189,1274.666626,0.309494257,
1274,0.0008129067137,1274,0.02652362548,1274,0.1001788974,1274,0.2085283548,1274,0.3094007373,
1273.333374,0.0008019884117,1273.333374,0.02637949213,1273.333374,0.1002538502,1273.333374,0.2086150646,1273.333374,0.3093174994,
1272.666626,0.0008723784704,1272.666626,0.02627258562,1272.666626,0.1002622992,1272.666626,0.2086514682,1272.666626,0.3091645539,
1272,0.0008423433173,1272,0.02618187107,1272,0.1003084108,1272,0.2086739093,1272,0.3089963198,
1271.333374,0.0007681461284,1271.333374,0.02602924779,1271.333374,0.100330323,1271.333374,0.2086654902,1271.333374,0.3088437021,
1270.666626,0.0007882696227,1270.666626,0.02597812936,1270.666626,0.1003331617,1270.666626,0.2087296993,1270.666626,0.3087393939,
1270,0.0007570215384,1270,0.02594273537,1270,0.1003551111,1270,0.2087458521,1270,0.3085804284,
1269.333374,0.0007781299646,1269.333374,0.02590616047,1269.333374,0.1004031226,1269.333374,0.208776325,1269.333374,0.3084832132,
1268.666626,0.0008326173411,1268.666626,0.02596746758,1268.666626,0.1004795879,1268.666626,0.2087703049,1268.666626,0.308388263,
1268,0.0007883214857,1268,0.02595471591,1268,0.1005492806,1268,0.2088782042,1268,0.3082885444,
1267.333374,0.0008270412218,1267.333374,0.0259548258,1267.333374,0.1005611867,1267.333374,0.2088437378,1267.333374,0.3081199527,
1266.666626,0.0007549988804,1266.666626,0.02591641061,1266.666626,0.1005245447,1266.666626,0.208873719,1266.666626,0.3080344796,
1266,0.000824292074,1266,0.02597263269,1266,0.1006126851,1266,0.2089551687,1266,0.3079351485,
1265.333374,0.000793974963,1265.333374,0.02596598305,1265.333374,0.1006464586,1265.333374,0.2089531571,1265.333374,0.3078238964,
1264.666626,0.0008037519292,1264.666626,0.02593921684,1264.666626,0.1006429046,1264.666626,0.2089797556,1264.666626,0.3076452315,
1264,0.0007614557398,1264,0.02599395998,1264,0.1006638557,1264,0.2089941651,1264,0.3075218499,
1263.333374,0.0007844834472,1263.333374,0.02601896971,1263.333374,0.1007508188,1263.333374,0.2090306431,1263.333374,0.3074593246,
1262.666626,0.0007732547238,1262.666626,0.0260109175,1262.666626,0.1007436365,1262.666626,0.2090806216,1262.666626,0.3073303401,
1262,0.0008120249258,1262,0.02605192363,1262,0.1008289382,1262,0.2091350406,1262,0.3072600067,
1261.333374,0.0008140996797,1261.333374,0.02606404573,1261.333374,0.100902997,1261.333374,0.209164381,1261.333374,0.3071276248,
1260.666626,0.0007408148376,1260.666626,0.02606712468,1260.666626,0.1008546725,1260.666626,0.2091455609,1260.666626,0.3070237339,
