non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1329.333374,-0.0004573712358,1329.333374,-0.0003673735482,1329.333374,-0.0004955887562,1329.333374,-0.0002201302414,1329.333374,-0.0002027950977,1329.333374,0.0008201165474,1329.333374,0.0002342017251,
1328.666626,-0.0004356493591,1328.666626,-0.0003554759023,1328.666626,-0.0004888143158,1328.666626,-0.0002182156604,1328.666626,-0.0001956021006,1328.666626,0.0008685137727,1328.666626,0.0002494829532,
1328,-0.0004689557827,1328,-0.0003512340772,1328,-0.0004967264249,1328,-0.0002301170607,1328,-0.0001916691836,1328,0.0008507466991,1328,0.0002575122926,
1327.333374,-0.0004337874416,1327.333374,-0.0003737877996,1327.333374,-0.0004982777755,1327.333374,-0.0002091082715,1327.333374,-0.0001963265677,1327.333374,0.0008584240568,1327.333374,0.000244587718,
1326.666626,-0.0004444416845,1326.666626,-0.0003443539026,1326.666626,-0.0004686971952,1326.666626,-0.0001975167834,1326.666626,-0.0001916691836,1326.666626,0.0008708740934,1326.666626,0.0002389673318,
1326,-0.0004293911916,1326,-0.0003656665212,1326,-0.0004619223473,1326,-0.0002227692748,1326,-0.0002023811103,1326,0.0008189753862,1326,0.0001903294469,
1325.333374,-0.0004049265699,1325.333374,-0.0003193671582,1325.333374,-0.00043704579,1325.333374,-0.0001995867206,1325.333374,-0.0001598940726,1325.333374,0.0008398015634,1325.333374,0.0001996266947,
1324.666626,-0.00041170232,1324.666626,-0.0003295586212,1324.666626,-0.0004453208821,1324.666626,-0.00020155315,1324.666626,-0.0001741258893,1324.666626,0.0008011325845,1324.666626,0.0001448561525,
1324,-0.0004152711772,1324,-0.0003408361808,1324,-0.0004888660042,1324,-0.0002432599576,1324,-0.0002094187512,1324,0.0007787523209,1324,9.193080041E-005,
1323.333374,-0.0004259258858,1323.333374,-0.0003506650392,1323.333374,-0.0004942959058,1323.333374,-0.0002737354953,1323.333374,-0.0002371025039,1323.333374,0.000723156787,1323.333374,4.051343058E-005,
1322.666626,-0.0004344080808,1322.666626,-0.0003506650392,1322.666626,-0.0004882454523,1322.666626,-0.0002751841967,1322.666626,-0.0002402071113,1322.666626,0.0007221714477,1322.666626,1.646378769E-005,
1322,-0.0003928230726,1322,-0.0002881705295,1322,-0.0004400455509,1322,-0.000201346149,1322,-0.0001624817087,1322,0.000799913716,1322,0.0001150006938,
1321.333374,-0.0004650253395,1321.333374,-0.0003948403464,1321.333374,-0.000489383121,1321.333374,-0.0003389221383,1321.333374,-0.0002910160692,1321.333374,0.0006586758536,1321.333374,-1.299456198E-005,
1320.666626,-0.0004323909816,1320.666626,-0.000365925167,1320.666626,-0.0004797125875,1320.666626,-0.0002823758696,1320.666626,-0.0002214756387,1320.666626,0.0007443413488,1320.666626,8.297245222E-005,
1320,-0.0004374078417,1320,-0.0003286791616,1320,-0.0004712312657,1320,-0.0002497795213,1320,-0.0001915656758,1320,0.0007581106038,1320,9.275932825E-005,
1319.333374,-0.0004360631283,1319.333374,-0.0003287826257,1319.333374,-0.0004528200661,1319.333374,-0.0002380338992,1319.333374,-0.0001848382526,1319.333374,0.0007855985314,1319.333374,0.0001247624023,
1318.666626,-0.0004470793356,1318.666626,-0.0003415087122,1318.666626,-0.0004625946458,1318.666626,-0.000229030411,1318.666626,-0.0001883054792,1318.666626,0.0007591738249,1318.666626,0.0001181596308,
1318,-0.0003916851128,1318,-0.0003063817567,1318,-0.0004181676486,1318,-0.0001749021467,1318,-0.0001294623216,1318,0.0008190272492,1318,0.0001694826205,
1317.333374,-0.0004292360391,1317.333374,-0.0003405258176,1317.333374,-0.0004725241743,1317.333374,-0.0002148521598,1317.333374,-0.000185459241,1317.333374,0.0007709467318,1317.333374,0.0001289053616,
1316.666626,-0.0004121678357,1316.666626,-0.0003284204868,1316.666626,-0.0004326495982,1316.666626,-0.0002164562902,1316.666626,-0.0001761959284,1316.666626,0.0008005101699,1316.666626,0.0001563276019,
1316,-0.0004001162306,1316,-0.0003166770039,1316,-0.0004350804375,1316,-0.0001683814626,1316,-0.0001570994064,1316,0.0008153186063,1316,0.000158321549,
1315.333374,-0.0003921506286,1315.333374,-0.0003183842346,1315.333374,-0.0004481137148,1315.333374,-0.0001915656758,1315.333374,-0.0001805947395,1315.333374,0.0007706874167,1315.333374,0.0001102882306,
