non-imine undoped,,non-imine 10 min iodine doped,,non-imine 1 min iodine doped,,non-imine 30 min iodine doping,,non-imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1120.666626,-0.01376214065,1120.666626,0.008698510006,1120.666626,0.01523579285,1120.666626,0.009994859807,1120.666626,-0.005091882776,1120.666626,-0.009533137083,1120.666626,-0.004175819922,
1120,-0.01404874399,1120,0.008746630512,1120,0.0151846949,1120,0.009901179001,1120,-0.005118540488,1120,-0.009430157021,1120,-0.004202072974,
1119.333374,-0.01399119757,1119.333374,0.008789659478,1119.333374,0.0151863033,1119.333374,0.009890136309,1119.333374,-0.005160340574,1119.333374,-0.009370171465,1119.333374,-0.004128027707,
1118.666626,-0.01387773734,1118.666626,0.008741375059,1118.666626,0.0154411532,1118.666626,0.009996899404,1118.666626,-0.005194105208,1118.666626,-0.009328978136,1118.666626,-0.004055816215,
1118,-0.01403776649,1118,0.008719691075,1118,0.01523426455,1118,0.009830793366,1118,-0.005194105208,1118,-0.009385473095,1118,-0.004170025699,
1117.333374,-0.01406954508,1117.333374,0.008716864511,1117.333374,0.01516874507,1117.333374,0.01000466011,1117.333374,-0.005030629691,1117.333374,-0.009301107377,1117.333374,-0.004089974798,
1116.666626,-0.01401014626,1116.666626,0.008620793,1116.666626,0.01521064527,1116.666626,0.009971894324,1116.666626,-0.004937530961,1116.666626,-0.009430056438,1116.666626,-0.003985747695,
1116,-0.01402192656,1116,0.00884000957,1116,0.01523547061,1116,0.0100242896,1116,-0.005033086054,1116,-0.009241915308,1116,-0.003977437038,
1115.333374,-0.01388209965,1115.333374,0.009036737494,1115.333374,0.01552922186,1115.333374,0.01029343624,1115.333374,-0.004608839285,1115.333374,-0.009093442932,1115.333374,-0.003941987175,
1114.666626,-0.01404222753,1114.666626,0.00871794764,1114.666626,0.01538126264,1114.666626,0.009865455329,1114.666626,-0.005166837946,1114.666626,-0.009506849572,1114.666626,-0.004210071173,
1114,-0.01392702572,1114,0.00877391547,1114,0.01539113186,1114,0.009963656776,1114,-0.004918437917,1114,-0.009301208891,1114,-0.004161616322,
1113.333374,-0.01394878514,1113.333374,0.009019611403,1113.333374,0.01538043097,1113.333374,0.01002426259,1113.333374,-0.004855982959,1113.333374,-0.009440745227,1113.333374,-0.003967382014,
1112.666626,-0.0139157949,1112.666626,0.009017311968,1112.666626,0.01535540912,1112.666626,0.01013280731,1112.666626,-0.004840521608,1112.666626,-0.009330446832,1112.666626,-0.00404525036,
1112,-0.01392918173,1112,0.009052067995,1112,0.01526616979,1112,0.009950016625,1112,-0.004770989064,1112,-0.009388563223,1112,-0.003988158889,
1111.333374,-0.01395043917,1111.333374,0.008899507113,1111.333374,0.01535366569,1111.333374,0.01000847481,1111.333374,-0.004700215999,1111.333374,-0.009271613322,1111.333374,-0.003951119259,
